,r (M units),E_C analytic,E_C PINN,Abs. Err
0,2.1,0.029216226,0.01967467,0.009541556
1,2.2,0.021949165,0.01784899,0.0041001737
2,2.5,0.012709638,0.014290549,0.0015809108
3,3.0,0.0052060126,0.008769073,0.00356306
4,100.0,0.0,7.3455274e-05,7.3455274e-05
5,120.0,0.0,0.00024177879,0.00024177879
6,150.0,0.0,-0.0015561357,0.0015561357
